id,team,status,priority,estimate_hours,spent_hours,region,owner,note
TASK-001,preview,running,medium,2,3,us-east,user-02,sample preview row 1
TASK-002,review,blocked,high,3,6,ap-south,user-03,sample preview row 2
TASK-003,watch,done,low,4,9,af-south,user-04,sample preview row 3
TASK-004,diff,review,medium,5,12,eu-west,user-05,sample preview row 4
TASK-005,preview,queued,high,6,15,us-east,user-06,sample preview row 5
TASK-006,review,running,low,7,1,ap-south,user-07,sample preview row 6
TASK-007,watch,blocked,medium,8,4,af-south,user-08,sample preview row 7
TASK-008,diff,done,high,9,7,eu-west,user-09,sample preview row 8
TASK-009,preview,review,low,10,10,us-east,user-10,sample preview row 9
TASK-010,review,queued,medium,11,13,ap-south,user-11,sample preview row 10
TASK-011,watch,running,high,12,16,af-south,user-12,"long cell to test truncation with commas, quotes, and table width 11"
TASK-012,diff,blocked,low,13,2,eu-west,user-01,sample preview row 12
TASK-013,preview,done,medium,1,5,us-east,user-02,sample preview row 13
TASK-014,review,review,high,2,8,ap-south,user-03,sample preview row 14
TASK-015,watch,queued,low,3,11,af-south,user-04,sample preview row 15
TASK-016,diff,running,medium,4,14,eu-west,user-05,sample preview row 16
TASK-017,preview,blocked,high,5,0,us-east,user-06,sample preview row 17
TASK-018,review,done,low,6,3,ap-south,user-07,sample preview row 18
TASK-019,watch,review,medium,7,6,af-south,user-08,sample preview row 19
TASK-020,diff,queued,high,8,9,eu-west,user-09,sample preview row 20
TASK-021,preview,running,low,9,12,us-east,user-10,sample preview row 21
TASK-022,review,blocked,medium,10,15,ap-south,user-11,"long cell to test truncation with commas, quotes, and table width 22"
TASK-023,watch,done,high,11,1,af-south,user-12,sample preview row 23
TASK-024,diff,review,low,12,4,eu-west,user-01,sample preview row 24
TASK-025,preview,queued,medium,13,7,us-east,user-02,sample preview row 25
TASK-026,review,running,high,1,10,ap-south,user-03,sample preview row 26
TASK-027,watch,blocked,low,2,13,af-south,user-04,sample preview row 27
TASK-028,diff,done,medium,3,16,eu-west,user-05,sample preview row 28
TASK-029,preview,review,high,4,2,us-east,user-06,sample preview row 29
TASK-030,review,queued,low,5,5,ap-south,user-07,sample preview row 30
TASK-031,watch,running,medium,6,8,af-south,user-08,sample preview row 31
TASK-032,diff,blocked,high,7,11,eu-west,user-09,sample preview row 32
TASK-033,preview,done,low,8,14,us-east,user-10,"long cell to test truncation with commas, quotes, and table width 33"
TASK-034,review,review,medium,9,0,ap-south,user-11,sample preview row 34
TASK-035,watch,queued,high,10,3,af-south,user-12,sample preview row 35
TASK-036,diff,running,low,11,6,eu-west,user-01,sample preview row 36
TASK-037,preview,blocked,medium,12,9,us-east,user-02,sample preview row 37
TASK-038,review,done,high,13,12,ap-south,user-03,sample preview row 38
TASK-039,watch,review,low,1,15,af-south,user-04,sample preview row 39
TASK-040,diff,queued,medium,2,1,eu-west,user-05,sample preview row 40
TASK-041,preview,running,high,3,4,us-east,user-06,sample preview row 41
TASK-042,review,blocked,low,4,7,ap-south,user-07,sample preview row 42
TASK-043,watch,done,medium,5,10,af-south,user-08,sample preview row 43
TASK-044,diff,review,high,6,13,eu-west,user-09,"long cell to test truncation with commas, quotes, and table width 44"
TASK-045,preview,queued,low,7,16,us-east,user-10,sample preview row 45
TASK-046,review,running,medium,8,2,ap-south,user-11,sample preview row 46
TASK-047,watch,blocked,high,9,5,af-south,user-12,sample preview row 47
TASK-048,diff,done,low,10,8,eu-west,user-01,sample preview row 48
TASK-049,preview,review,medium,11,11,us-east,user-02,sample preview row 49
TASK-050,review,queued,high,12,14,ap-south,user-03,sample preview row 50
TASK-051,watch,running,low,13,0,af-south,user-04,sample preview row 51
TASK-052,diff,blocked,medium,1,3,eu-west,user-05,sample preview row 52
TASK-053,preview,done,high,2,6,us-east,user-06,sample preview row 53
TASK-054,review,review,low,3,9,ap-south,user-07,sample preview row 54
TASK-055,watch,queued,medium,4,12,af-south,user-08,"long cell to test truncation with commas, quotes, and table width 55"
TASK-056,diff,running,high,5,15,eu-west,user-09,sample preview row 56
TASK-057,preview,blocked,low,6,1,us-east,user-10,sample preview row 57
TASK-058,review,done,medium,7,4,ap-south,user-11,sample preview row 58
TASK-059,watch,review,high,8,7,af-south,user-12,sample preview row 59
TASK-060,diff,queued,low,9,10,eu-west,user-01,sample preview row 60
TASK-061,preview,running,medium,10,13,us-east,user-02,sample preview row 61
TASK-062,review,blocked,high,11,16,ap-south,user-03,sample preview row 62
TASK-063,watch,done,low,12,2,af-south,user-04,sample preview row 63
TASK-064,diff,review,medium,13,5,eu-west,user-05,sample preview row 64
TASK-065,preview,queued,high,1,8,us-east,user-06,sample preview row 65
TASK-066,review,running,low,2,11,ap-south,user-07,"long cell to test truncation with commas, quotes, and table width 66"
TASK-067,watch,blocked,medium,3,14,af-south,user-08,sample preview row 67
TASK-068,diff,done,high,4,0,eu-west,user-09,sample preview row 68
TASK-069,preview,review,low,5,3,us-east,user-10,sample preview row 69
TASK-070,review,queued,medium,6,6,ap-south,user-11,sample preview row 70
TASK-071,watch,running,high,7,9,af-south,user-12,sample preview row 71
TASK-072,diff,blocked,low,8,12,eu-west,user-01,sample preview row 72
TASK-073,preview,done,medium,9,15,us-east,user-02,sample preview row 73
TASK-074,review,review,high,10,1,ap-south,user-03,sample preview row 74
TASK-075,watch,queued,low,11,4,af-south,user-04,sample preview row 75
TASK-076,diff,running,medium,12,7,eu-west,user-05,sample preview row 76
TASK-077,preview,blocked,high,13,10,us-east,user-06,"long cell to test truncation with commas, quotes, and table width 77"
TASK-078,review,done,low,1,13,ap-south,user-07,sample preview row 78
TASK-079,watch,review,medium,2,16,af-south,user-08,sample preview row 79
TASK-080,diff,queued,high,3,2,eu-west,user-09,sample preview row 80
TASK-081,preview,running,low,4,5,us-east,user-10,sample preview row 81
TASK-082,review,blocked,medium,5,8,ap-south,user-11,sample preview row 82
TASK-083,watch,done,high,6,11,af-south,user-12,sample preview row 83
TASK-084,diff,review,low,7,14,eu-west,user-01,sample preview row 84
TASK-085,preview,queued,medium,8,0,us-east,user-02,sample preview row 85
TASK-086,review,running,high,9,3,ap-south,user-03,sample preview row 86
TASK-087,watch,blocked,low,10,6,af-south,user-04,sample preview row 87
TASK-088,diff,done,medium,11,9,eu-west,user-05,"long cell to test truncation with commas, quotes, and table width 88"
TASK-089,preview,review,high,12,12,us-east,user-06,sample preview row 89
TASK-090,review,queued,low,13,15,ap-south,user-07,sample preview row 90
TASK-091,watch,running,medium,1,1,af-south,user-08,sample preview row 91
TASK-092,diff,blocked,high,2,4,eu-west,user-09,sample preview row 92
TASK-093,preview,done,low,3,7,us-east,user-10,sample preview row 93
TASK-094,review,review,medium,4,10,ap-south,user-11,sample preview row 94
TASK-095,watch,queued,high,5,13,af-south,user-12,sample preview row 95
TASK-096,diff,running,low,6,16,eu-west,user-01,sample preview row 96
TASK-097,preview,blocked,medium,7,2,us-east,user-02,sample preview row 97
TASK-098,review,done,high,8,5,ap-south,user-03,sample preview row 98
TASK-099,watch,review,low,9,8,af-south,user-04,"long cell to test truncation with commas, quotes, and table width 99"
TASK-100,diff,queued,medium,10,11,eu-west,user-05,sample preview row 100
